seed,method,accuracy,download_mb,upload_mb,bidir_mb,saving_pct
1,FedAvg,0.6542,644.76,644.76,1289.52,-100.0
1,DivRoute,0.6361,51.58,51.58,103.16,84.0
7,FedAvg,0.6611,644.76,644.76,1289.52,-100.0
7,DivRoute,0.6362,51.47,51.47,102.95,84.0
21,FedAvg,0.6668,644.76,644.76,1289.52,-100.0
21,DivRoute,0.6331,51.58,51.58,103.16,84.0
42,FedAvg,0.6695,644.76,644.76,1289.52,-100.0
42,DivRoute,0.6408,51.58,51.58,103.16,84.0
84,FedAvg,0.6533,644.76,644.76,1289.52,-100.0
84,DivRoute,0.6341,51.47,51.47,102.95,84.0
